school_id,system_id,sctype,gender,ethnicity,cltype,tdegree,tyear,lunch,read_old,read,math_old,math
41,17,suburban,male,cauc,small,bachelor,5,non-free,650,665,699,726
50,21,rural,male,cauc,regular,master,8,non-free,611,639,563,624
22,11,inner-city,female,afam,regular+aide,master,14,non-free,526,573,504,556
27,11,inner-city,female,afam,small,master,9,free,579,633,620,634
21,11,suburban,female,cauc,small,bachelor,21,non-free,560,560,528,585
75,39,rural,male,cauc,regular,bachelor,19,non-free,549,585,572,596
8,6,rural,female,cauc,small,bachelor,10,non-free,622,647,577,614
9,6,urban,female,cauc,regular+aide,master,16,free,591,610,582,622
47,19,rural,female,cauc,regular,bachelor,1,non-free,643,633,570,596
11,8,rural,male,afam,regular+aide,master,14,free,547,562,535,582
34,12,rural,female,cauc,regular+aide,master,16,non-free,588,644,587,663
2,2,urban,female,cauc,regular,master,15,free,566,606,574,612
27,11,inner-city,female,afam,small,bachelor,15,free,573,631,659,612
7,5,rural,female,cauc,regular,bachelor,24,free,554,559,514,596
30,11,inner-city,female,afam,small,bachelor,3,free,533,583,541,603
46,18,suburban,male,cauc,regular,master,24,non-free,555,618,587,642
64,31,rural,male,cauc,regular+aide,master,16,non-free,627,654,639,678
50,21,rural,male,cauc,regular,master,8,free,579,593,639,631
75,39,rural,male,cauc,regular+aide,bachelor,7,non-free,637,629,587,634
39,15,rural,male,cauc,regular+aide,master,10,non-free,614,644,639,659
29,11,inner-city,female,afam,regular,bachelor,2,free,523,560,518,570
29,11,inner-city,male,afam,regular,bachelor,2,free,544,582,579,634
33,11,inner-city,male,afam,regular+aide,bachelor,5,free,555,564,563,579
12,9,rural,male,cauc,regular+aide,bachelor,16,non-free,614,693,699,684
1,1,rural,male,cauc,regular+aide,bachelor,30,non-free,650,670,639,700
45,18,inner-city,male,afam,regular,bachelor,3,non-free,604,641,639,726
78,41,rural,male,cauc,small,master,14,non-free,643,654,632,691
39,15,rural,male,cauc,small,master,3,free,659,675,659,684
33,11,inner-city,male,afam,regular,bachelor,0,free,568,606,599,604
32,11,inner-city,male,afam,small,bachelor,8,free,533,569,572,559
4,4,suburban,male,cauc,small,master,18,non-free,618,650,574,642
44,18,suburban,male,afam,small,bachelor,7,free,523,529,522,515
7,5,rural,male,afam,regular+aide,bachelor,0,free,541,597,577,645
73,37,rural,female,cauc,small,bachelor,8,free,627,661,639,645
23,11,suburban,female,afam,small,bachelor,11,non-free,637,650,639,648
72,36,rural,female,cauc,regular+aide,bachelor,11,non-free,596,624,582,639
9,6,urban,female,cauc,regular+aide,master,38,non-free,643,647,590,631
17,11,suburban,female,afam,regular+aide,master,18,free,571,554,540,597
64,31,rural,female,cauc,regular+aide,master,16,non-free,604,641,584,636
25,11,suburban,male,cauc,regular+aide,bachelor,8,non-free,602,608,572,616
56,24,rural,female,cauc,regular,master,9,non-free,593,614,615,603
69,35,rural,male,cauc,small,bachelor,6,non-free,602,600,611,626
67,33,rural,male,cauc,regular+aide,master,19,non-free,584,633,611,645
54,22,suburban,female,cauc,small,master,20,free,545,587,563,589
79,41,rural,female,cauc,small,master,12,non-free,608,665,611,691
79,41,rural,male,cauc,small,master,12,non-free,557,602,607,655
68,34,rural,female,afam,regular,bachelor,8,free,591,612,611,634
24,11,suburban,female,afam,small,master,10,non-free,569,636,552,667
47,19,rural,male,cauc,small,bachelor,34,non-free,611,647,550,604
64,31,rural,male,cauc,regular,bachelor,22,non-free,588,624,615,626
53,22,inner-city,male,afam,regular,master,19,non-free,564,604,540,626
66,32,rural,female,cauc,small,bachelor,1,non-free,684,728,699,700
1,1,rural,female,cauc,regular+aide,bachelor,30,non-free,608,665,632,684
33,11,inner-city,male,afam,small,bachelor,29,free,542,555,536,526
14,11,inner-city,female,afam,regular+aide,bachelor,0,free,542,578,563,610
69,35,rural,female,cauc,regular+aide,bachelor,12,non-free,614,644,596,634
19,11,inner-city,male,afam,small,master,18,free,577,575,568,599
57,24,rural,female,cauc,regular,bachelor,3,free,618,636,568,622
30,11,inner-city,male,afam,small,bachelor,3,free,579,626,572,634
51,22,suburban,male,afam,regular,master,15,non-free,566,622,584,634
32,11,inner-city,male,afam,regular+aide,master,33,free,568,555,563,564
57,24,rural,female,cauc,small,master,11,non-free,593,647,548,626
43,18,suburban,female,cauc,regular,master,19,free,559,600,559,634
36,12,suburban,female,cauc,regular,master,9,non-free,566,608,533,585
79,41,rural,female,cauc,regular+aide,master,9,free,604,670,574,678
43,18,suburban,female,cauc,regular,master,19,non-free,568,612,603,639
36,12,suburban,male,cauc,regular,master,9,non-free,544,608,561,651
60,27,urban,female,cauc,small,bachelor,14,free,659,675,607,636
3,3,rural,female,cauc,small,bachelor,6,non-free,684,675,607,648
22,11,inner-city,male,afam,regular+aide,master,12,free,530,588,568,626
68,34,rural,female,cauc,regular+aide,master,15,non-free,547,610,525,616
8,6,rural,male,cauc,small,master,19,non-free,566,559,620,583
12,9,rural,female,cauc,small,bachelor,15,free,560,639,552,667
39,15,rural,female,cauc,regular+aide,master,10,free,514,550,507,535
77,40,rural,female,cauc,regular+aide,bachelor,1,non-free,631,650,565,618
30,11,inner-city,male,afam,regular+aide,bachelor,18,free,566,620,579,634
16,11,inner-city,male,afam,regular+aide,bachelor,26,free,515,585,500,561
64,31,rural,female,cauc,regular,bachelor,22,free,555,578,572,549
27,11,inner-city,female,afam,regular+aide,bachelor,25,free,517,565,568,594
16,11,inner-city,female,afam,regular+aide,master,11,free,554,580,522,546
64,31,rural,male,cauc,small,bachelor,31,non-free,554,587,572,597
27,11,inner-city,female,afam,regular,master,14,free,582,622,579,639
34,12,rural,female,cauc,regular+aide,bachelor,9,non-free,650,644,620,678
72,36,rural,female,cauc,regular+aide,master,7,free,650,670,639,651
25,11,suburban,female,afam,regular,bachelor,8,free,586,616,579,618
2,2,urban,male,afam,regular,master,15,free,591,614,561,620
49,21,rural,male,cauc,small,master,4,non-free,684,693,659,774
36,12,suburban,male,cauc,regular,master,9,non-free,577,575,526,586
62,29,rural,female,cauc,regular,bachelor,17,non-free,622,702,611,636
52,22,suburban,male,cauc,regular,bachelor,15,free,560,593,584,597
20,11,suburban,female,afam,regular,bachelor,7,non-free,591,641,611,634
66,32,rural,female,cauc,regular+aide,master,4,free,618,622,536,597
4,4,suburban,male,cauc,regular,master,15,non-free,586,587,659,596
78,41,rural,male,cauc,small,master,14,free,560,582,572,570
77,40,rural,male,cauc,regular+aide,bachelor,1,non-free,631,629,596,642
22,11,inner-city,female,afam,regular,bachelor,20,free,622,636,615,667
38,14,rural,male,cauc,regular+aide,bachelor,17,free,579,636,626,606
22,11,inner-city,female,afam,regular+aide,master,14,free,575,647,528,636
63,30,rural,male,cauc,small,bachelor,20,non-free,614,629,648,651
20,11,suburban,female,afam,regular,bachelor,7,free,529,573,525,568
56,24,rural,female,cauc,small,master,11,non-free,618,624,611,616
10,7,urban,female,afam,regular+aide,master,36,non-free,584,614,541,579
80,42,rural,male,cauc,small,master,12,free,584,592,557,585
3,3,rural,female,cauc,regular+aide,bachelor,3,non-free,614,636,626,622
24,11,suburban,male,afam,regular,master,19,free,559,592,568,636
34,12,rural,male,cauc,regular,bachelor,14,non-free,669,670,674,655
20,11,suburban,female,afam,regular,bachelor,7,free,554,604,559,610
65,31,rural,female,cauc,regular+aide,bachelor,2,free,596,616,568,655
58,25,suburban,male,cauc,small,bachelor,6,non-free,577,580,579,614
47,19,rural,female,cauc,small,bachelor,34,non-free,643,665,639,672
44,18,suburban,female,afam,small,bachelor,3,free,538,582,577,591
26,11,inner-city,female,afam,small,bachelor,2,free,535,545,572,606
57,24,rural,male,cauc,regular,bachelor,3,non-free,564,577,530,576
43,18,suburban,male,asian,regular,master,19,non-free,669,641,659,752
55,23,rural,female,cauc,regular+aide,master,4,non-free,550,608,523,588
65,31,rural,female,cauc,regular,bachelor,24,free,557,606,572,629
11,8,rural,female,cauc,regular,bachelor,4,free,614,620,556,624
26,11,inner-city,male,afam,small,bachelor,2,non-free,559,572,543,588
54,22,suburban,male,afam,regular+aide,master,19,non-free,582,597,574,634
17,11,suburban,female,afam,regular+aide,master,18,free,562,602,559,583
7,5,rural,male,cauc,small,bachelor,5,non-free,579,593,563,583
46,18,suburban,male,afam,regular,master,24,free,627,633,570,642
73,37,rural,male,cauc,small,bachelor,8,free,582,597,615,626
49,21,rural,female,cauc,small,master,4,non-free,591,588,561,577
67,33,rural,male,cauc,regular+aide,master,19,free,611,657,603,631
17,11,suburban,female,afam,small,bachelor,8,non-free,562,593,556,568
56,24,rural,female,afam,small,master,11,non-free,599,650,603,655
26,11,inner-city,female,afam,regular,master,22,non-free,560,602,541,596
14,11,inner-city,male,afam,regular+aide,bachelor,0,free,545,577,563,636
55,23,rural,female,cauc,small,bachelor,16,non-free,568,592,545,591
20,11,suburban,female,afam,regular+aide,master,28,non-free,560,608,557,606
14,11,inner-city,male,afam,small,bachelor,30,free,564,588,590,610
53,22,inner-city,male,afam,regular,master,19,free,586,641,593,622
68,34,rural,male,cauc,regular,bachelor,8,non-free,573,549,599,622
63,30,rural,male,cauc,regular+aide,bachelor,15,non-free,627,639,611,612
51,22,suburban,male,afam,regular+aide,master,18,free,524,575,520,571
36,12,suburban,female,cauc,regular,master,9,non-free,569,622,570,586
16,11,inner-city,male,afam,regular,master,26,free,557,604,526,610
52,22,suburban,female,cauc,small,master,6,non-free,532,624,561,626
65,31,rural,female,cauc,regular,bachelor,24,free,608,644,590,636
51,22,suburban,male,cauc,regular+aide,master,18,non-free,602,620,593,618
14,11,inner-city,male,afam,small,bachelor,22,free,586,657,582,645
36,12,suburban,male,cauc,regular+aide,bachelor,29,non-free,555,580,525,571
63,30,rural,female,cauc,regular+aide,bachelor,15,free,582,608,584,606
59,26,urban,female,cauc,regular+aide,master,7,non-free,582,595,572,612
3,3,rural,female,cauc,regular+aide,master,13,free,562,577,528,558
80,42,rural,female,cauc,small,bachelor,2,non-free,564,618,599,612
5,4,rural,female,cauc,small,master,13,non-free,602,631,577,616
22,11,inner-city,male,afam,small,bachelor,8,free,559,650,548,655
68,34,rural,male,afam,regular+aide,master,15,free,544,606,533,631
32,11,inner-city,male,afam,regular,bachelor,31,free,509,545,502,546
20,11,suburban,female,afam,regular+aide,master,28,non-free,552,604,587,610
63,30,rural,female,afam,regular,bachelor,23,non-free,552,606,584,659
39,15,rural,female,cauc,regular,master,18,free,732,686,674,691
51,22,suburban,male,afam,small,bachelor,9,non-free,637,595,639,608
39,15,rural,male,cauc,regular,master,18,free,586,565,561,561
12,9,rural,male,cauc,small,bachelor,15,free,631,665,579,634
20,11,suburban,female,afam,regular+aide,master,28,non-free,622,647,639,678
39,15,rural,male,cauc,regular,master,18,free,650,693,648,691
25,11,suburban,male,afam,small,bachelor,8,free,684,693,674,711
64,31,rural,male,cauc,regular,master,6,non-free,530,583,554,589
50,21,rural,male,cauc,regular+aide,master,9,non-free,584,639,582,651
9,6,urban,male,cauc,small,bachelor,9,non-free,552,577,568,624
38,14,rural,male,cauc,regular+aide,bachelor,17,free,554,572,674,622
65,31,rural,female,cauc,regular+aide,bachelor,2,free,732,693,648,659
7,5,rural,male,cauc,small,bachelor,5,non-free,614,614,607,667
20,11,suburban,female,afam,regular+aide,bachelor,4,non-free,599,631,582,645
79,41,rural,male,cauc,regular,master,12,non-free,573,606,587,774
57,24,rural,male,cauc,small,master,11,non-free,569,616,559,645
68,34,rural,male,afam,regular+aide,master,15,free,557,595,568,594
66,32,rural,female,cauc,regular,master,5,free,614,680,632,684
49,21,rural,female,afam,small,bachelor,13,non-free,608,620,536,604
58,25,suburban,female,cauc,small,bachelor,6,non-free,618,606,577,626
77,40,rural,male,cauc,regular,bachelor,28,non-free,591,592,584,620
23,11,suburban,female,afam,regular,master,26,non-free,627,644,639,672
21,11,suburban,female,afam,regular,bachelor,4,free,566,578,607,616
43,18,suburban,male,cauc,small,bachelor,6,non-free,557,582,559,603
51,22,suburban,female,afam,regular+aide,bachelor,14,free,550,604,565,620
22,11,inner-city,female,afam,regular,bachelor,20,free,566,604,554,583
69,35,rural,male,cauc,small,bachelor,18,non-free,591,633,563,603
49,21,rural,female,cauc,regular+aide,master,17,free,566,620,593,610
1,1,rural,male,cauc,regular,bachelor,5,non-free,618,633,570,603
27,11,inner-city,female,afam,small,master,9,free,552,585,611,571
20,11,suburban,male,afam,regular,bachelor,7,free,566,597,541,559
45,18,inner-city,male,afam,regular+aide,master,11,free,532,602,577,639
16,11,inner-city,male,afam,regular+aide,master,23,free,520,580,570,561
55,23,rural,male,cauc,small,master,10,free,544,575,494,573
67,33,rural,male,cauc,regular+aide,master,19,free,559,593,607,648
4,4,suburban,male,cauc,regular,master,15,non-free,650,618,632,629
7,5,rural,male,cauc,small,bachelor,5,non-free,627,631,559,603
33,11,inner-city,male,afam,regular,bachelor,0,free,538,595,563,599
66,32,rural,male,cauc,regular,master,5,free,591,620,639,672
8,6,rural,male,cauc,regular+aide,bachelor,10,free,622,626,648,663
55,23,rural,female,cauc,small,bachelor,16,free,596,622,550,618
23,11,suburban,male,afam,regular,master,26,non-free,579,631,584,620
45,18,inner-city,male,afam,regular,bachelor,3,free,544,657,620,636
53,22,inner-city,female,cauc,small,bachelor,5,non-free,575,606,568,648
52,22,suburban,male,cauc,regular,bachelor,15,non-free,627,680,565,663
34,12,rural,female,cauc,regular+aide,bachelor,9,non-free,650,636,599,667
26,11,inner-city,male,afam,regular+aide,master,13,free,559,599,526,586
41,17,suburban,female,cauc,regular,master,20,non-free,586,602,570,616
63,30,rural,male,cauc,regular,bachelor,9,free,591,597,587,645
56,24,rural,male,cauc,regular+aide,master,15,non-free,588,588,565,550
11,8,rural,female,cauc,regular,bachelor,4,free,659,650,648,655
14,11,inner-city,male,afam,regular+aide,bachelor,0,non-free,588,590,596,672
63,30,rural,female,cauc,small,bachelor,20,free,599,592,620,618
11,8,rural,female,cauc,regular,bachelor,4,non-free,622,629,615,655
19,11,inner-city,female,afam,regular+aide,bachelor,26,free,538,577,497,589
68,34,rural,female,afam,regular+aide,master,15,free,564,612,561,610
77,40,rural,male,cauc,regular+aide,master,15,non-free,573,557,550,591
68,34,rural,female,cauc,small,master,12,non-free,582,654,632,684
68,34,rural,male,cauc,small,master,12,non-free,538,570,565,574
49,21,rural,male,cauc,small,master,4,non-free,584,624,587,612
66,32,rural,male,cauc,regular+aide,master,4,non-free,584,631,577,678
34,12,rural,female,cauc,small,bachelor,14,non-free,577,644,545,631
49,21,rural,female,cauc,regular+aide,master,17,non-free,650,636,596,631
47,19,rural,male,cauc,regular,bachelor,1,non-free,564,602,587,626
11,8,rural,female,cauc,regular+aide,master,14,non-free,684,661,721,774
8,6,rural,female,cauc,small,bachelor,10,free,599,647,620,651
1,1,rural,female,cauc,regular,bachelor,5,free,650,639,659,645
22,11,inner-city,female,afam,regular+aide,master,14,free,559,614,550,655
53,22,inner-city,male,afam,regular,master,19,free,545,599,522,604
36,12,suburban,male,cauc,small,master,17,non-free,575,636,557,622
61,28,suburban,male,cauc,regular+aide,master,15,non-free,579,620,574,599
77,40,rural,male,cauc,small,bachelor,2,non-free,669,641,639,651
2,2,urban,male,afam,small,master,9,free,631,564,552,540
58,25,suburban,male,cauc,regular,bachelor,22,non-free,582,633,535,610
58,25,suburban,male,cauc,regular,bachelor,22,non-free,650,675,593,636
55,23,rural,male,cauc,small,master,10,non-free,564,604,559,601
77,40,rural,male,cauc,regular,bachelor,28,non-free,608,620,572,582
3,3,rural,male,cauc,regular+aide,bachelor,3,non-free,618,629,620,604
40,16,rural,female,cauc,regular,bachelor,3,free,527,577,533,576
15,11,inner-city,female,afam,regular+aide,master,25,free,539,554,565,577
16,11,inner-city,female,afam,small,master,29,free,559,626,543,580
77,40,rural,male,cauc,small,bachelor,2,non-free,627,639,596,626
72,36,rural,male,cauc,regular,master,13,non-free,709,661,674,691
7,5,rural,male,cauc,small,bachelor,23,non-free,582,577,572,571
44,18,suburban,male,afam,regular,master,14,non-free,611,599,565,570
20,11,suburban,male,afam,regular,bachelor,7,non-free,532,559,517,556
63,30,rural,female,cauc,small,master,12,non-free,669,665,563,604
29,11,inner-city,female,afam,regular,bachelor,2,free,523,590,520,573
12,9,rural,male,cauc,regular+aide,bachelor,16,non-free,659,728,721,774
77,40,rural,female,cauc,regular,bachelor,8,free,559,599,556,608
3,3,rural,male,cauc,regular+aide,master,13,free,637,661,590,614
39,15,rural,male,cauc,small,bachelor,31,free,643,629,632,659
47,19,rural,male,cauc,small,bachelor,34,non-free,524,559,550,580
21,11,suburban,male,afam,regular+aide,master,19,non-free,542,602,507,543
10,7,urban,male,cauc,regular+aide,master,36,non-free,593,618,611,645
26,11,inner-city,female,afam,regular,master,22,free,564,593,572,618
67,33,rural,male,cauc,regular,bachelor,7,free,549,622,504,591
79,41,rural,male,afam,small,bachelor,14,free,552,585,554,610
25,11,suburban,male,cauc,small,bachelor,18,free,611,572,607,629
19,11,inner-city,male,afam,regular,master,16,free,517,547,559,591
15,11,inner-city,female,afam,small,bachelor,11,free,577,597,587,612
16,11,inner-city,female,afam,regular+aide,master,11,non-free,622,654,593,593
34,12,rural,male,cauc,regular+aide,master,16,free,575,616,557,634
63,30,rural,male,cauc,regular,bachelor,23,non-free,559,600,572,622
1,1,rural,female,cauc,regular+aide,bachelor,30,non-free,586,612,626,606
68,34,rural,female,cauc,regular+aide,master,19,non-free,564,597,574,636
38,14,rural,female,cauc,regular+aide,bachelor,17,non-free,650,612,639,663
45,18,inner-city,male,afam,regular+aide,master,11,free,512,595,556,579
40,16,rural,female,cauc,regular+aide,specialist,12,free,588,629,577,634
55,23,rural,female,cauc,regular+aide,master,4,non-free,577,602,565,622
34,12,rural,female,cauc,regular,bachelor,14,non-free,614,661,599,608
51,22,suburban,male,afam,regular+aide,master,18,free,573,606,572,594
29,11,inner-city,male,afam,small,master,31,free,535,641,570,614
60,27,urban,female,cauc,regular+aide,bachelor,20,free,602,626,550,586
41,17,suburban,male,cauc,regular,master,20,non-free,631,657,639,700
22,11,inner-city,female,afam,small,bachelor,8,free,588,610,590,634
16,11,inner-city,male,afam,regular,master,26,free,554,604,541,610
30,11,inner-city,male,afam,regular,bachelor,3,non-free,554,585,568,606
40,16,rural,female,cauc,regular,bachelor,3,free,584,618,572,606
16,11,inner-city,male,afam,small,master,29,free,562,588,572,593
41,17,suburban,male,cauc,small,bachelor,5,non-free,627,657,632,659
77,40,rural,male,cauc,small,bachelor,2,non-free,604,620,584,596
46,18,suburban,male,cauc,small,master,8,non-free,536,606,615,642
63,30,rural,female,afam,regular+aide,bachelor,15,free,575,590,620,614
3,3,rural,male,cauc,regular+aide,master,13,free,586,604,632,634
74,38,rural,male,cauc,regular,master,11,free,582,633,574,608
19,11,inner-city,female,afam,small,master,18,non-free,627,647,577,631
44,18,suburban,male,afam,regular,master,14,free,588,557,554,574
52,22,suburban,male,cauc,small,bachelor,23,non-free,573,602,596,651
47,19,rural,female,cauc,regular,bachelor,1,non-free,591,602,556,636
22,11,inner-city,male,afam,small,bachelor,8,free,591,614,533,629
57,24,rural,female,cauc,small,bachelor,18,non-free,593,602,565,603
77,40,rural,male,cauc,regular+aide,master,15,non-free,562,569,593,620
63,30,rural,male,cauc,regular+aide,bachelor,15,non-free,650,680,607,691
79,41,rural,female,cauc,regular,master,12,non-free,611,618,607,663
12,9,rural,female,cauc,small,bachelor,15,non-free,586,670,570,659
47,19,rural,female,cauc,small,bachelor,2,non-free,611,675,632,626
11,8,rural,male,cauc,regular+aide,master,14,non-free,618,622,620,672
65,31,rural,male,cauc,regular+aide,bachelor,2,non-free,618,606,648,655
55,23,rural,male,cauc,small,master,10,non-free,596,629,603,667
30,11,inner-city,male,afam,small,bachelor,3,free,492,626,568,610
43,18,suburban,female,cauc,small,bachelor,6,free,627,647,626,678
21,11,suburban,female,cauc,regular,bachelor,4,non-free,604,618,582,626
41,17,suburban,male,cauc,regular+aide,master,21,non-free,622,624,648,624
64,31,rural,male,cauc,regular,master,6,free,481,523,525,574
11,8,rural,male,cauc,regular,bachelor,4,non-free,593,614,626,620
62,29,rural,female,cauc,small,bachelor,15,free,526,604,541,567
23,11,suburban,male,afam,regular+aide,master,20,non-free,542,569,546,567
3,3,rural,male,cauc,small,bachelor,6,free,611,641,639,651
59,26,urban,male,cauc,regular+aide,master,7,non-free,637,675,615,655
24,11,suburban,male,afam,regular,master,19,non-free,557,620,525,593
64,31,rural,male,cauc,regular,bachelor,22,non-free,577,614,632,594
56,24,rural,male,cauc,small,master,11,non-free,591,624,607,667
11,8,rural,male,cauc,regular,bachelor,4,non-free,650,639,659,672
1,1,rural,male,cauc,small,master,1,non-free,596,614,593,618
47,19,rural,male,cauc,small,bachelor,2,non-free,582,578,587,601
9,6,urban,male,cauc,regular+aide,master,38,non-free,588,626,620,659
65,31,rural,male,cauc,regular+aide,bachelor,2,non-free,588,587,639,626
9,6,urban,male,cauc,regular+aide,master,16,non-free,524,545,550,559
12,9,rural,male,cauc,regular+aide,bachelor,16,non-free,593,647,596,622
7,5,rural,male,cauc,regular,bachelor,21,non-free,604,686,603,651
25,11,suburban,male,cauc,small,bachelor,8,free,579,557,611,608
47,19,rural,female,cauc,regular+aide,bachelor,0,free,573,616,568,604
19,11,inner-city,female,afam,regular+aide,bachelor,30,free,549,595,550,571
31,11,inner-city,female,afam,regular+aide,bachelor,17,free,521,612,556,603
72,36,rural,male,cauc,regular+aide,master,7,non-free,637,608,611,580
55,23,rural,female,cauc,regular+aide,master,4,non-free,559,559,510,582
56,24,rural,female,afam,small,master,6,free,530,587,540,549
10,7,urban,male,cauc,small,bachelor,0,non-free,684,686,648,700
51,22,suburban,female,cauc,regular,master,15,non-free,669,661,639,631
73,37,rural,male,cauc,regular+aide,master,15,free,549,588,509,528
7,5,rural,male,cauc,regular+aide,master,5,non-free,532,636,572,624
1,1,rural,female,cauc,small,bachelor,0,non-free,637,602,648,631
58,25,suburban,female,cauc,small,bachelor,6,non-free,604,599,587,631
77,40,rural,female,cauc,regular,bachelor,8,non-free,586,620,570,622
22,11,inner-city,male,afam,regular+aide,master,12,free,530,567,522,571
34,12,rural,male,cauc,small,bachelor,14,free,604,604,561,610
77,40,rural,male,cauc,regular,bachelor,28,non-free,618,675,632,663
4,4,suburban,male,cauc,small,bachelor,6,non-free,622,680,659,659
50,21,rural,male,cauc,small,master,15,free,566,580,557,603
27,11,inner-city,male,afam,regular+aide,bachelor,4,free,532,555,584,561
25,11,suburban,male,cauc,small,bachelor,18,free,659,650,599,624
51,22,suburban,female,cauc,regular+aide,master,15,free,575,624,584,579
40,16,rural,female,cauc,small,bachelor,36,free,637,636,568,618
72,36,rural,male,cauc,small,bachelor,18,free,659,612,648,620
52,22,suburban,female,cauc,regular,bachelor,15,non-free,596,639,615,626
27,11,inner-city,male,afam,regular,bachelor,5,free,529,587,518,580
36,12,suburban,female,cauc,regular+aide,bachelor,29,non-free,555,616,523,567
45,18,inner-city,male,afam,regular+aide,master,11,free,669,654,659,645
41,17,suburban,male,cauc,regular+aide,master,21,non-free,575,612,639,636
72,36,rural,female,cauc,small,bachelor,10,free,650,641,599,624
75,39,rural,female,cauc,regular,bachelor,19,non-free,552,585,563,591
27,11,inner-city,female,afam,small,bachelor,15,non-free,539,573,541,562
63,30,rural,male,cauc,small,bachelor,1,non-free,614,624,599,645
17,11,suburban,male,afam,regular+aide,master,18,free,539,600,531,588
43,18,suburban,female,cauc,regular+aide,bachelor,22,non-free,564,582,556,565
36,12,suburban,male,cauc,small,master,17,non-free,596,580,607,608
65,31,rural,female,cauc,small,bachelor,4,non-free,631,650,550,648
27,11,inner-city,female,afam,small,master,9,non-free,637,661,579,618
49,21,rural,female,cauc,small,bachelor,13,non-free,557,592,536,593
77,40,rural,male,cauc,regular+aide,bachelor,1,non-free,568,608,572,610
61,28,suburban,male,cauc,regular+aide,master,6,non-free,586,618,550,603
66,32,rural,female,cauc,regular+aide,master,4,non-free,614,631,607,678
54,22,suburban,male,cauc,regular+aide,master,19,free,622,612,603,636
56,24,rural,male,cauc,small,master,6,non-free,659,665,615,626
77,40,rural,male,cauc,regular+aide,master,15,non-free,555,533,557,582
1,1,rural,female,cauc,small,bachelor,28,free,506,542,492,528
49,21,rural,male,cauc,small,master,4,non-free,650,670,632,663
23,11,suburban,male,afam,regular,master,26,non-free,571,633,590,684
10,7,urban,female,cauc,regular+aide,master,36,non-free,669,675,590,618
69,35,rural,male,cauc,regular+aide,bachelor,12,non-free,618,639,611,667
2,2,urban,female,afam,regular+aide,master,19,free,586,599,509,604
20,11,suburban,male,afam,regular+aide,bachelor,4,non-free,568,600,550,608
31,11,inner-city,male,afam,regular,master,26,free,559,585,526,561
44,18,suburban,female,afam,regular,master,14,free,577,549,552,535
15,11,inner-city,female,afam,small,master,21,free,571,595,584,610
16,11,inner-city,male,afam,regular+aide,bachelor,26,free,520,517,488,535
39,15,rural,female,cauc,small,bachelor,31,free,618,592,632,594
38,14,rural,female,cauc,small,bachelor,9,non-free,650,636,596,596
61,28,suburban,female,cauc,regular+aide,master,15,non-free,650,657,632,667
20,11,suburban,female,afam,regular+aide,master,28,non-free,582,644,559,626
77,40,rural,male,cauc,regular+aide,master,15,non-free,622,650,607,620
53,22,inner-city,male,afam,small,bachelor,5,non-free,552,569,502,554
